"path","bytes","lines","is_binary"
"tests/async-cleanup.test.ts","717","19","False"
"tests/async-revalidate-cleanup.test.ts","1232","40","False"
"tests/computed.test.ts","4582","152","False"
"tests/heavy/environment.heavy.ts","3258","102","False"
"tests/heavy/snapshot-cache.heavy.ts","1188","38","False"
"tests/heavy/store.heavy.ts","48909","1537","False"
"tests/heavy/stress-memory.heavy.ts","2674","80","False"
"tests/heavy/sync.heavy.ts","18999","603","False"
"tests/options-adapter.test.ts","3714","126","False"
"tests/persist.test.ts","21806","720","False"
"tests/react-hooks.test.tsx","13243","481","False"
"tests/regressions.test.ts","5643","191","False"
"tests/selectors-devfreeze.test.ts","961","33","False"
"tests/setup.ts","154","6","False"
"tests/ssr-carrier.test.ts","2964","65","False"
"tests/store.core.test.ts","4022","135","False"
"tests/store.node-env.test.ts","5175","136","False"
"tests/strict-missing-features.test.ts","1233","30","False"
"tests/sync.core.test.ts","803","25","False"
"tests/testing.test.ts","4175","137","False"
"tests/types/ambient-store-map.types.ts","855","32","False"
"tests/types/assert.ts","174","7","False"
"tests/types/package-declarations.types.ts","4706","107","False"
"tests/types/public-api.types.ts","6594","189","False"
"tests/utils.test.ts","2564","72","False"
"tsconfig.build.json","294","15","False"
"tsconfig.eslint.json","199","13","False"
"tsconfig.json","499","19","False"
"tsconfig.types.json","260","11","False"
"tsconfig.typetests.json","127","7","False"
"tsup.config.ts","799","28","False"
"vercel.json","19","3","False"
